# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1      7.2751080316      3.3423333333     20.2793962046      1.9211301804      0.0017272007      0.0064583337         155    5.5296869538
    2     11.3475564050      2.4341666667     33.4351405884      1.7661952972      0.0054933554      0.0588333346        1257    5.7147655124
    3     13.5378210082      1.9832500000     43.8660075444      1.5064978600      0.0133080017      0.1323333383        1764    5.6983667849
    4     15.2193698369      1.7010833333     52.7632115819      1.2537264824      0.0257220436      0.2060000002        1768    5.6928654182
    5     16.7380639533      1.5025000000     60.9862843426      1.0724303722      0.0422343425      0.2764166594        1690    5.6947069611
    6     18.0284757250      1.3484166667     68.1172786920      0.8943350315      0.0608339868      0.3385416865        1491    5.6947060839
    7     18.9389332441      1.2252500000     74.3701433686      0.7566099167      0.0802990943      0.3930833340        1309    5.6883797725
    8     19.5166656662      1.1162500000     80.3159282417      0.6480855942      0.1013271511      0.4444166720        1232    5.6830091935
    9     19.6577031011      1.0185000000     85.7212786286      0.5630450249      0.1230580509      0.4917083383        1135    5.6679924504
   10     19.4248913046      0.9280000000     90.8725167789      0.5240683556      0.1457664818      0.5365833044        1077    5.6223342406
   11     19.0354098973      0.8532500000     95.1115201146      0.4801778793      0.1660591364      0.5736249685         889    5.5594613347
   12     18.2855435419      0.7764166667     99.5151262939      0.4666595459      0.1885490268      0.6119999886         921    5.5527849855
   13     17.5871978954      0.7113333333    103.2219842916      0.4260444641      0.2087146342      0.6444166899         778    5.4783500158
   14     16.7607976203      0.6530833333    106.5506172664      0.4032053947      0.2276954353      0.6734583378         697    3.9435439772
   15     15.7733686029      0.5970833333    109.7726287925      0.3867197037      0.2467900813      0.7014583349         672    3.9435439772
   16     14.9036406862      0.5488333333    112.5169186530      0.3625679016      0.2638844252      0.7255833149         579    3.9435439772
   17     13.9189847210      0.5019166667    115.2383347155      0.3497765064      0.2810783684      0.7490416765         563    3.9435439772
   18     13.0484157130      0.4608333333    117.5696557820      0.3348479271      0.2966020405      0.7695833445         493    3.9435439772
   19     12.1809409848      0.4219166667    119.8092677794      0.3227758408      0.3116858006      0.7890416384         467    3.9435439772
   20     11.2935702283      0.3845000000    121.9552222154      0.3045845032      0.3265541494      0.8077499866         449    3.9435439772
   21     10.5335708679      0.3525000000    123.7866801881      0.2916393280      0.3395543098      0.8237499595         384    3.9435439772
   22      9.8677462996      0.3233333333    125.4540601839      0.2786109447      0.3516284227      0.8383333087         350    3.9435439772
   23      9.1664406858      0.2967500000    126.9663461311      0.2662301064      0.3628248572      0.8516249657         319    3.9435439772
