# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1     10.2972454602      3.8684166667     23.4703635872      4.2209157944      0.0006565104      0.0027916667          67    6.2009954211
    2     17.2879676112      2.8123333333     38.9415802146      4.0089917183      0.0024452982      0.0313749984         686    6.5413375692
    3     21.8094185049      2.2966666667     50.8717560603      3.4029479027      0.0062185447      0.0816249996        1206    6.4830991010
    4     23.7157948395      1.9713333333     61.1959973641      2.8494877815      0.0127801076      0.1378333271        1349    6.4079275342
    5     25.1474111703      1.7484166667     70.5093236725      2.4200019836      0.0221506450      0.1942916662        1355    6.3632425785
    6     26.0389930921      1.5808333333     78.9069144768      2.0301742554      0.0338703617      0.2481250018        1292    6.3225649383
    7     26.9061096478      1.4431666667     86.9071573986      1.7006065845      0.0477047823      0.2996250093        1236    6.3051700889
    8     27.6291757319      1.3304166667     94.2700567903      1.4227888584      0.0625523627      0.3464999795        1125    6.3049250357
    9     28.3956669686      1.2326666667    101.1291243454      1.2436470985      0.0784409195      0.3904166818        1054    6.3044422702
   10     28.6433377111      1.1440833333    107.4573029477      1.0782299042      0.0952022672      0.4318333268         994    6.3040961231
   11     28.8834786464      1.0688333333    113.0686295347      0.9648344517      0.1112040952      0.4679166675         866    6.3015235080
   12     28.6324898001      0.9973333333    118.4338324352      0.8508868217      0.1278643608      0.5026667118         834    6.2916536240
   13     28.2631664816      0.9315833333    123.5148877257      0.8150665760      0.1446065605      0.5352916718         783    6.2955050849
   14     27.6036245634      0.8700833333    128.2228821899      0.7444837093      0.1611121595      0.5655833483         727    6.2781314287
   15     26.6532882915      0.8101666667    132.8568552024      0.6581811905      0.1781740040      0.5952500105         712    6.2269484896
   16     25.8146012629      0.7574166667    136.9622279623      0.5963146687      0.1939695776      0.6214166880         628    6.1367177141
   17     24.8982383497      0.7079166667    140.7652961648      0.5609397888      0.2094943374      0.6460832953         592    5.6793697445
   18     23.9844818017      0.6646666667    144.1879887251      0.5417394638      0.2235829085      0.6676666737         518    4.2215707122
   19     22.9969093266      0.6215000000    147.6043012539      0.5245671272      0.2381432056      0.6892499924         518    4.2215707122
   20     21.9023298958      0.5812500000    150.6863206424      0.5063476562      0.2521407604      0.7093750238         483    4.2215707122
   21     20.8407415471      0.5421666667    153.7202442655      0.4863600731      0.2661270499      0.7289167643         469    4.2215707122
   22     19.9042041240      0.5083333333    156.3688963453      0.4715147018      0.2785485983      0.7458332777         406    4.2215707122
   23     18.7998174857      0.4732500000    159.1146390836      0.4607830048      0.2917293608      0.7633749247         421    4.2215707122
   24     17.8955346238      0.4432500000    161.4615241760      0.4418706894      0.3032507896      0.7783749104         360    4.2215707122
   25     17.0158886897      0.4155000000    163.6214849744      0.4274358749      0.3141125739      0.7922498584         333    4.2215707122
   26     16.1025235685      0.3886666667    165.6922087532      0.4133462906      0.3247970343      0.8056666851         322    4.2215707122
   27     15.2486364890      0.3630000000    167.6826015280      0.3963921070      0.3351948857      0.8184999824         308    4.2215707122
