# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1     20.8621277860      4.8933333333     29.5832232193     14.2575759888      0.0001213530      0.0003750000           9    7.2959328308
    2     40.8318745107      3.5874166667     49.6500946516     14.7513580322      0.0005128185      0.0092916666         214    8.0258993695
    3     54.7636501935      2.9266666667     64.8996335953     12.4288434982      0.0014636472      0.0307083335         514    8.3002108065
    4     61.7724277047      2.4984166667     78.5510320927     10.4007511139      0.0034146560      0.0625416636         764    8.3742953092
    5     65.7734168437      2.2193333333     90.1411991309      9.1183633804      0.0064612683      0.0970416665         828    8.2210190718
    6     66.5686154886      2.0057500000    101.2154614914      8.0585575104      0.0109399650      0.1343750060         896    8.0854565740
    7     64.9757860119      1.8397500000    111.4374316596      7.0362129211      0.0167977940      0.1722500026         909    7.6495817035
    8     63.7029552977      1.7122500000    120.5202582152      6.1906404495      0.0234544016      0.2074166685         844    7.2735811716
    9     62.3757395791      1.6077500000    128.9337567995      5.3927941322      0.0308159739      0.2405833304         796    7.2736094142
   10     60.7720529466      1.5143333333    137.6463834819      4.7292671204      0.0394799151      0.2746250033         817    7.2735978491
   11     59.8661054736      1.4317500000    145.9929535589      4.1860671043      0.0488271378      0.3071666658         781    7.2736088360
   12     57.7648018791      1.3555833333    153.7417317752      3.5724987984      0.0585406348      0.3376249969         731    7.2735737926
   13     57.2624678587      1.2920833333    160.7669877582      3.1837477684      0.0681088194      0.3651666641         661    7.2735867000
   14     55.6574137188      1.2308333333    167.6971209671      2.7143125534      0.0781455040      0.3919583559         643    7.2735351607
   15     54.5830144724      1.1697500000    174.9310828404      2.3443918228      0.0895065665      0.4202083349         678    7.2733649543
   16     53.7318038624      1.1172500000    181.1484709709      1.9955568314      0.1000326574      0.4447499812         589    7.2732287365
   17     53.1858168522      1.0690000000    187.0656066654      1.8126342297      0.1105355173      0.4679582715         557    7.2721701062
   18     52.3280810828      1.0220000000    192.8315833168      1.5622467995      0.1212959141      0.4905833304         543    7.2718161287
   19     51.7857793132      0.9800833333    198.0831109861      1.4899065495      0.1315559745      0.5112084150         495    7.2697316008
   20     51.0854409635      0.9418333333    202.8801466615      1.3346934319      0.1412481666      0.5299583673         450    7.2671938182
   21     50.1507613657      0.9036666667    207.7296395848      1.2222561836      0.1513237208      0.5487500429         451    7.2666208111
   22     48.9932162535      0.8643333333    212.7606630187      1.1436879635      0.1621328890      0.5682083368         467    7.2535322069
   23     48.0077389476      0.8299166667    217.1335666628      1.0571529865      0.1719056815      0.5852500200         409    7.2211057140
   24     47.0555665090      0.7958333333    221.4849032258      1.0244240761      0.1819441915      0.6022500396         408    7.2176978013
   25     45.9917724217      0.7629166667    225.7615351168      1.0131919384      0.1919478327      0.6187083721         395    7.1941282726
   26     44.9491550774      0.7325833333    229.6452242021      0.9828212261      0.2013825774      0.6338333488         363    7.1809926806
   27     43.5528128893      0.7004166667    233.7669636391      0.9176092148      0.2116097510      0.6498333216         384    6.8714015188
   28     42.5442910974      0.6737500000    237.1841656683      0.9093079567      0.2203375548      0.6631666422         320    6.8821117906
   29     41.4680333484      0.6472500000    240.6105585041      0.8850469589      0.2291779518      0.6764166951         318    6.8974993679
   30     40.3577498765      0.6217500000    243.9403557692      0.8799719810      0.2378564775      0.6891666651         306    6.7553758161
   31     39.3014653274      0.5976666667    247.0325839245      0.8629136086      0.2461973429      0.7012083530         289    7.0019123251
   32     38.0761101040      0.5728333333    250.2208232044      0.8141474724      0.2549254596      0.7135834694         297    4.6718575434
   33     36.9733430288      0.5490833333    253.2613475468      0.8037686348      0.2634462714      0.7254583836         285    4.6718575434
   34     35.9572072094      0.5280000000    255.9617531389      0.7857334614      0.2711244226      0.7360000014         253    4.6718575434
   35     34.8039530874      0.5067500000    258.6591744174      0.7682104111      0.2789790034      0.7466250658         255    4.6718575434
   36     33.7096775899      0.4867500000    261.2578127580      0.7562379837      0.2864718735      0.7566249967         240    4.6718575434
   37     32.5146680918      0.4653333333    264.0166356852      0.7336606979      0.2946086526      0.7673332691         257    4.6718575434
   38     31.4545136100      0.4463333333    266.4772549872      0.7217855453      0.3019278049      0.7768334150         228    4.6718575434
   39     30.4297962872      0.4286666667    268.7590969413      0.7094643116      0.3088142872      0.7856668234         212    4.6718575434
   40     29.2899834257      0.4101666667    271.1327788214      0.6924231052      0.3161105216      0.7949167490         222    4.6718575434
   41     28.2886223075      0.3927500000    273.4087644421      0.6788682938      0.3230596781      0.8036250472         209    4.6718575434
   42     27.2956856406      0.3763333333    275.5113813958      0.6640386581      0.3296779990      0.8118333817         197    4.6718575434
   43     26.3820075330      0.3605000000    277.5685662952      0.6504561901      0.3361302912      0.8197500706         190    4.6718575434
   44     25.4344497840      0.3455000000    279.5116403769      0.6436662674      0.3423011899      0.8272501230         180    4.6718575434
   45     24.5179081357      0.3312500000    281.3394627861      0.6276981831      0.3482092917      0.8343750238         171    4.6718575434
