# time   trace   domains   purity   coherence  equireached
   74      1.0000021756      1.6138606293      0.0295634358      0.1857523762      0.2215564867
   75      1.0000022054      1.6043321078      0.0303196274      0.1843478317      0.2250552782
   76      1.0000022352      1.5949570660      0.0310831482      0.1829858301      0.2285345463
   77      1.0000022650      1.5857301001      0.0318538344      0.1816645221      0.2319943081
   78      1.0000022948      1.5766460533      0.0326315247      0.1803820826      0.2354345931
   79      1.0000023246      1.5677000015      0.0334160600      0.1791367971      0.2388554420
   80      1.0000023544      1.5588872411      0.0342072838      0.1779270103      0.2422569060
   81      1.0000023842      1.5502032769      0.0350050419      0.1767511172      0.2456390457
   82      1.0000024140      1.5416438109      0.0358091830      0.1756075804      0.2490019305
   83      1.0000024438      1.5332047323      0.0366195581      0.1744949355      0.2523456381
   84      1.0000024736      1.5248821075      0.0374360210      0.1734117470      0.2556702533
   85      1.0000025034      1.5166721712      0.0382584281      0.1723566502      0.2589758679
   86      1.0000025332      1.5085713179      0.0390866384      0.1713283370      0.2622625800
   87      1.0000025630      1.5005760937      0.0399205137      0.1703255627      0.2655304932
   88      1.0000025928      1.4926831890      0.0407599184      0.1693471283      0.2687797164
   89      1.0000026226      1.4848894316      0.0416047196      0.1683918720      0.2720103629
   90      1.0000026524      1.4771917797      0.0424547870      0.1674586918      0.2752225505
   91      1.0000026822      1.4695873159      0.0433099931      0.1665465356      0.2784164008
   92      1.0000027120      1.4620732414      0.0441702127      0.1656543959      0.2815920386
   93      1.0000027418      1.4546468699      0.0450353234      0.1647813128      0.2847495919
   94      1.0000027716      1.4473056233      0.0459052053      0.1639263699      0.2878891913
   95      1.0000028014      1.4400470257      0.0467797412      0.1630886932      0.2910109699
   96      1.0000028312      1.4328686996      0.0476588160      0.1622674485      0.2941150626
   97      1.0000028610      1.4257683609      0.0485423175      0.1614657419      0.2972016064
   98      1.0000028908      1.4187438148      0.0494301355      0.1606866475      0.3002707395
   99      1.0000029206      1.4117929520      0.0503221624      0.1599213964      0.3033226016
  100      1.0000029504      1.4049137449      0.0512182929      0.1591693073      0.3063573333
  101      1.0000029802      1.3981042439      0.0521184240      0.1584297325      0.3093750759
  102      1.0000030100      1.3913625739      0.0530224547      0.1577020564      0.3123759716
  103      1.0000030398      1.3846869315      0.0539302865      0.1569856936      0.3153601628
  104      1.0000030696      1.3780755814      0.0548418229      0.1562800882      0.3183277922
  105      1.0000030994      1.3715268539      0.0557569694      0.1555847122      0.3212790026
  106      1.0000031292      1.3650391419      0.0566756337      0.1548990643      0.3242139366
  107      1.0000031591      1.3586108984      0.0575977253      0.1542226691      0.3271327368
  108      1.0000031889      1.3522406337      0.0585231560      0.1535550754      0.3300355453
  109      1.0000032187      1.3459269133      0.0594518391      0.1528988910      0.3329225037
  110      1.0000032485      1.3396683557      0.0603836899      0.1522509388      0.3357937532
  111      1.0000032783      1.3334636299      0.0613186255      0.1516105027      0.3386494342
  112      1.0000033081      1.3273114534      0.0622565649      0.1509772197      0.3414896863
  113      1.0000033379      1.3212105902      0.0631974285      0.1503507464      0.3443146483
  114      1.0000033677      1.3151598494      0.0641411387      0.1497307576      0.3471244580
  115      1.0000033975      1.3091580825      0.0650876192      0.1491169457      0.3499192523
  116      1.0000034273      1.3032041823      0.0660367955      0.1485090199      0.3526991668
  117      1.0000034571      1.2972970813      0.0669885946      0.1479067054      0.3554643361
  118      1.0000034869      1.2914357496      0.0679429448      0.1473097423      0.3582148938
  119      1.0000035167      1.2856191939      0.0688997760      0.1467178854      0.3609509718
  120      1.0000035465      1.2798464558      0.0698590196      0.1461311069      0.3636727010
  121      1.0000035763      1.2741166105      0.0708206082      0.1455490049      0.3663802111
  122      1.0000036061      1.2684287653      0.0717844756      0.1449713468      0.3690736300
  123      1.0000036359      1.2627820587      0.0727505573      0.1443979382      0.3717530846
