# time   trace   domains   purity   coherence  equireached
   74      1.0000021756      1.6021264384      0.0305358612      0.1508190136      0.2264271310
   75      1.0000022054      1.5924677858      0.0313258913      0.1494327054      0.2300103007
   76      1.0000022352      1.5829644002      0.0321235803      0.1480906491      0.2335731672
   77      1.0000022650      1.5736108025      0.0329287528      0.1467909370      0.2371157483
   78      1.0000022948      1.5644017625      0.0337412358      0.1455316319      0.2406380752
   79      1.0000023246      1.5553322858      0.0345608589      0.1443108471      0.2441401908
   80      1.0000023544      1.5463976009      0.0353874547      0.1431268510      0.2476221493
   81      1.0000023842      1.5375931477      0.0362208586      0.1419779842      0.2510840152
   82      1.0000024140      1.5289145659      0.0370609088      0.1408626613      0.2545258622
   83      1.0000024438      1.5203576850      0.0379074463      0.1397793570      0.2579477728
   84      1.0000024736      1.5119185148      0.0387603151      0.1387266133      0.2613498373
   85      1.0000025034      1.5035932356      0.0396193624      0.1377030413      0.2647321532
   86      1.0000025332      1.4953781903      0.0404844379      0.1367073054      0.2680948248
   87      1.0000025630      1.4872698761      0.0413553945      0.1357381325      0.2714379621
   88      1.0000025928      1.4792649372      0.0422320881      0.1347943068      0.2747616807
   89      1.0000026226      1.4713601572      0.0431143773      0.1338746674      0.2780661010
   90      1.0000026524      1.4635524530      0.0440021237      0.1329781060      0.2813513479
   91      1.0000026822      1.4558388680      0.0448951919      0.1321035647      0.2846175501
   92      1.0000027120      1.4482165664      0.0457934491      0.1312500344      0.2878648401
   93      1.0000027418      1.4406828276      0.0466967655      0.1304165524      0.2910933532
   94      1.0000027716      1.4332350407      0.0476050139      0.1296022008      0.2943032277
   95      1.0000028014      1.4258706997      0.0485180700      0.1288061052      0.2974946042
   96      1.0000028312      1.4185873984      0.0494358121      0.1280274327      0.3006676253
   97      1.0000028610      1.4113828264      0.0503581210      0.1272653866      0.3038224356
   98      1.0000028908      1.4042547643      0.0512848803      0.1265192098      0.3069591809
