# time   trace   domains   purity   coherence  equireached
   74      1.0000021756      1.6127785530      0.0296067212      0.1990076512      0.2219685344
   75      1.0000022054      1.6032383637      0.0303646042      0.1974365887      0.2254753285
   76      1.0000022352      1.5938519879      0.0311298303      0.1959135270      0.2289624732
   77      1.0000022650      1.5846140090      0.0319022352      0.1944363418      0.2324299861
   78      1.0000022948      1.5755192574      0.0326816564      0.1930031613      0.2358778971
   79      1.0000023246      1.5665627966      0.0334679343      0.1916119001      0.2393062475
   80      1.0000023544      1.5577399109      0.0342609115      0.1902606731      0.2427150894
   81      1.0000023842      1.5490460930      0.0350604332      0.1889476876      0.2461044843
   82      1.0000024140      1.5404770334      0.0358663474      0.1876712129      0.2494745029
   83      1.0000024438      1.5320286100      0.0366785045      0.1864295882      0.2528252241
   84      1.0000024736      1.5236968782      0.0374967577      0.1852212214      0.2561567343
   85      1.0000025034      1.5154780621      0.0383209628      0.1840445791      0.2594691267
   86      1.0000025332      1.5073685458      0.0391509784      0.1828981966      0.2627625009
   87      1.0000025630      1.4993648656      0.0399866658      0.1817806718      0.2660369623
   88      1.0000025928      1.4914637025      0.0408278889      0.1806906630      0.2692926215
   89      1.0000026226      1.4836618748      0.0416745145      0.1796268848      0.2725295938
   90      1.0000026524      1.4759563320      0.0425264118      0.1785881079      0.2757479986
   91      1.0000026822      1.4683441483      0.0433834528      0.1775731585      0.2789479594
   92      1.0000027120      1.4608225165      0.0442455123      0.1765809150      0.2821296031
   93      1.0000027418      1.4533887429      0.0451124675      0.1756103067      0.2852930595
   94      1.0000027716      1.4460402416      0.0459841981      0.1746603121      0.2884384612
   95      1.0000028014      1.4387745298      0.0468605866      0.1737299566      0.2915659432
   96      1.0000028312      1.4315892230      0.0477415179      0.1728183100      0.2946756425
   97      1.0000028610      1.4244820308      0.0486268793      0.1719244862      0.2977676979
   98      1.0000028908      1.4174507522      0.0495165605      0.1710476409      0.3008422497
   99      1.0000029206      1.4104932721      0.0504104538      0.1701869699      0.3038994394
  100      1.0000029504      1.4036075572      0.0513084536      0.1693417074      0.3069394095
  101      1.0000029802      1.3967916527      0.0522104566      0.1685111244      0.3099623035
  102      1.0000030100      1.3900436786      0.0531163620      0.1676945274      0.3129682653
  103      1.0000030398      1.3833618266      0.0540260710      0.1668912571      0.3159574391
  104      1.0000030696      1.3767443570      0.0549394869      0.1661006855      0.3189299695
  105      1.0000030994      1.3701895958      0.0558565151      0.1653222163      0.3218860011
  106      1.0000031292      1.3636959319      0.0567770633      0.1645552825      0.3248256783
  107      1.0000031591      1.3572618145      0.0577010408      0.1637993465      0.3277491455
  108      1.0000031889      1.3508857504      0.0586283593      0.1630538958      0.3306565464
  109      1.0000032187      1.3445663018      0.0595589320      0.1623184449      0.3335480245
  110      1.0000032485      1.3383020839      0.0604926741      0.1615925327      0.3364237224
  111      1.0000032783      1.3320917628      0.0614295028      0.1608757225      0.3392837822
  112      1.0000033081      1.3259340532      0.0623693368      0.1601675984      0.3421283452
  113      1.0000033379      1.3198277167      0.0633120966      0.1594677666      0.3449575516
  114      1.0000033677      1.3137715596      0.0642577044      0.1587758537      0.3477715407
  115      1.0000033975      1.3077644313      0.0652060839      0.1580915064      0.3505704509
  116      1.0000034273      1.3018052226      0.0661571605      0.1574143900      0.3533544192
  117      1.0000034571      1.2958928638      0.0671108611      0.1567441851      0.3561235818
  118      1.0000034869      1.2900263232      0.0680671141      0.1560805908      0.3588780733
  119      1.0000035167      1.2842046057      0.0690258492      0.1554233222      0.3616180273
  120      1.0000035465      1.2784267515      0.0699869977      0.1547721094      0.3643435757
