# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1     14.4694454790      4.4175000000     21.6924110731      7.9639883041      0.0002790803      0.0004583334          11    6.7713925558
    2     23.9824465298      3.3224166667     33.9406249674      7.6439790726      0.0009829362      0.0079166666         179    7.2719249506
    3     29.5538004422      2.8109166667     43.5159968363      6.5180730820      0.0019660145      0.0244583338         397    7.4926731024
    4     33.0089664777      2.4925833333     51.6203971821      5.5749554634      0.0033132092      0.0468750000         538    7.5763056836
    5     35.0820073012      2.2762500000     58.5351684544      4.8937187195      0.0050765309      0.0705833286         569    7.5491932427
    6     36.1258508762      2.1165000000     64.5907600454      4.3528804779      0.0072552431      0.0943750069         571    7.3392612244
    7     37.0702565325      1.9901666667     70.5317448602      4.0246624947      0.0100338291      0.1192499995         597    7.0344624466
    8     36.6269577409      1.8849166667     76.1495984240      3.6765594482      0.0132688116      0.1434583366         581    6.8229256023
    9     36.7810907447      1.7962500000     81.4156962185      3.4090652466      0.0170960613      0.1680833399         591    6.8229864500
   10     36.3775773603      1.7151666667     86.3929625265      3.1227660179      0.0213653482      0.1918333322         570    6.8230446130
   11     35.6463208692      1.6428333333     91.3082227180      2.8426523209      0.0261453912      0.2155416608         569    6.8230733325
   12     35.5495713448      1.5834166667     95.7156175946      2.6204972267      0.0309042633      0.2367916703         510    6.8230072747
   13     35.2717033600      1.5297500000     99.8194191628      2.3803567886      0.0358025953      0.2568749785         482    6.8230650432
   14     34.8978388810      1.4778333333    103.8789994365      2.1523818970      0.0411001779      0.2769166827         481    6.8230046635
   15     34.8797963791      1.4329166667    107.6508425730      1.9680392742      0.0463531539      0.2954999804         446    6.8229107155
   16     34.8584741247      1.3875000000    111.7705645859      1.8104982376      0.0524227470      0.3155833483         482    6.8228132859
   17     34.9530220895      1.3462500000    115.5043633264      1.6917874813      0.0583468080      0.3340416551         443    6.8225300150
   18     35.3401435176      1.3095000000    119.0081087161      1.5977241993      0.0640388280      0.3508749604         404    6.8226450181
   19     35.3662323083      1.2722500000    122.6021901042      1.4904482365      0.0702714324      0.3684166670         421    6.8222812820
   20     35.2848246556      1.2365000000    126.1053064706      1.3871593475      0.0765507072      0.3852916360         405    6.8213247035
   21     35.2905436121      1.2022500000    129.5161949014      1.3019626141      0.0829161406      0.4016666710         393    6.8206972970
   22     35.2994374915      1.1700833333    132.7009014502      1.1808393002      0.0890380517      0.4167916775         363    6.8182000200
   23     35.3235402462      1.1400833333    135.7751886058      1.1254692078      0.0951309875      0.4313749969         350    6.8172484900
   24     35.4197638535      1.1125833333    138.5669448977      1.0587201118      0.1009148806      0.4447082877         320    6.8155841232
   25     35.5241849370      1.0855833333    141.2970501323      1.0095605850      0.1068414152      0.4579583108         318    6.8143108702
   26     35.2885618260      1.0547500000    144.4480373315      0.9786412716      0.1138881296      0.4732083678         366    6.8115580493
   27     35.1993302860      1.0275833333    147.3235274256      0.9447152615      0.1203329340      0.4867082834         324    6.8022000094
   28     35.1305952390      1.0039166667    149.7875290151      0.9431705475      0.1260754764      0.4984999895         283    6.8031542331
   29     35.0782241772      0.9808333333    152.1859965488      0.8951263428      0.1317815781      0.5099166036         274    6.7929731146
   30     34.7457052069      0.9551666667    154.8600538420      0.8638453484      0.1382733881      0.5226249695         305    6.7371948699
