# time   trace   domains   purity   coherence  equireached
   74      1.0000021756      1.6271730080      0.0283904201      0.2478563869      0.2159480469
   75      1.0000022054      1.6178141467      0.0291043097      0.2462378212      0.2193435247
   76      1.0000022352      1.6086070180      0.0298250555      0.2446663843      0.2227201672
   77      1.0000022650      1.5995462831      0.0305525082      0.2431400721      0.2260779965
   78      1.0000022948      1.5906268484      0.0312865204      0.2416569378      0.2294170459
   79      1.0000023246      1.5818438509      0.0320269469      0.2402150920      0.2327373591
   80      1.0000023544      1.5731926460      0.0327736447      0.2388126989      0.2360389894
   81      1.0000023842      1.5646687952      0.0335264727      0.2374480646      0.2393219988
   82      1.0000024140      1.5562680554      0.0342852925      0.2361195222      0.2425864576
   83      1.0000024438      1.5479863681      0.0350499678      0.2348252810      0.2458324435
   84      1.0000024736      1.5398198500      0.0358203644      0.2335637562      0.2490600411
   85      1.0000025034      1.5317647838      0.0365963510      0.2323334236      0.2522693411
   86      1.0000025332      1.5238176096      0.0373777981      0.2311328159      0.2554604402
   87      1.0000025630      1.5159749172      0.0381645791      0.2299605243      0.2586334403
   88      1.0000025928      1.5082334386      0.0389565694      0.2288151981      0.2617884478
   89      1.0000026226      1.5005900406      0.0397536471      0.2276955387      0.2649255739
   90      1.0000026524      1.4930417188      0.0405556925      0.2266003036      0.2680449333
   91      1.0000026822      1.4855855908      0.0413625883      0.2255283027      0.2711466444
   92      1.0000027120      1.4782188908      0.0421742196      0.2244783980      0.2742308290
   93      1.0000027418      1.4709389639      0.0429904739      0.2234494984      0.2772976113
   94      1.0000027716      1.4637432609      0.0438112410      0.2224405607      0.2803471183
   95      1.0000028014      1.4566293335      0.0446364128      0.2214505903      0.2833794793
   96      1.0000028312      1.4495948296      0.0454658837      0.2204786378      0.2863948251
   97      1.0000028610      1.4426374888      0.0462995503      0.2195237977      0.2893932888
   98      1.0000028908      1.4357551387      0.0471373114      0.2185852060      0.2923750043
   99      1.0000029206      1.4289456903      0.0479790678      0.2176620397      0.2953401071
  100      1.0000029504      1.4222071350      0.0488247226      0.2167535151      0.2982887336
  101      1.0000029802      1.4155375404      0.0496741809      0.2158588861      0.3012210210
  102      1.0000030100      1.4089350477      0.0505273500      0.2149774429      0.3041371069
  103      1.0000030398      1.4023978677      0.0513841391      0.2141085109      0.3070371295
  104      1.0000030696      1.3959242787      0.0522444594      0.2132514480      0.3099212274
  105      1.0000030994      1.3895126227      0.0531082239      0.2124056449      0.3127895388
  106      1.0000031292      1.3831613036      0.0539753477      0.2115705226      0.3156422025
  107      1.0000031591      1.3768687838      0.0548457476      0.2107455318      0.3184793565
  108      1.0000031889      1.3706335823      0.0557193423      0.2099301516      0.3213011391
  109      1.0000032187      1.3644542721      0.0565960521      0.2091238880      0.3241076877
  110      1.0000032485      1.3583294782      0.0574757993      0.2083262728      0.3268991394
  111      1.0000032783      1.3522578750      0.0583585076      0.2075368624      0.3296756308
  112      1.0000033081      1.3462381849      0.0592441024      0.2067552372      0.3324372975
  113      1.0000033379      1.3402691758      0.0601325108      0.2059809998      0.3351842745
  114      1.0000033677      1.3343496596      0.0610236614      0.2052137744      0.3379166960
  115      1.0000033975      1.3284784904      0.0619174842      0.2044532059      0.3406346951
  116      1.0000034273      1.3226545627      0.0628139108      0.2036989586      0.3433384040
  117      1.0000034571      1.3168768097      0.0637128742      0.2029507155      0.3460279538
  118      1.0000034869      1.3111442022      0.0646143087      0.2022081774      0.3487034744
  119      1.0000035167      1.3054557467      0.0655181501      0.2014710623      0.3513650948
  120      1.0000035465      1.2998104839      0.0664243355      0.2007391038      0.3540129425
  121      1.0000035763      1.2942074880      0.0673328031      0.2000120513      0.3566471439
  122      1.0000036061      1.2886458648      0.0682434925      0.1992896687      0.3592678242
  123      1.0000036359      1.2831247507      0.0691563444      0.1985717336      0.3618751070
  124      1.0000036657      1.2776433114      0.0700713008      0.1978580370      0.3644691149
  125      1.0000036955      1.2722007409      0.0709883048      0.1971483824      0.3670499688
  126      1.0000037253      1.2667962605      0.0719073004      0.1964425852      0.3696177886
  127      1.0000037551      1.2614291175      0.0728282331      0.1957404720      0.3721726924
  128      1.0000037849      1.2560985845      0.0737510489      0.1950418803      0.3747147972
  129      1.0000038147      1.2508039581      0.0746756953      0.1943466576      0.3772442184
  130      1.0000038445      1.2455445583      0.0756021204      0.1936546611      0.3797610699
  131      1.0000038743      1.2403197275      0.0765302735      0.1929657600      0.3822654642
  132      1.0000039041      1.2351288297      0.0774601047      0.1922798290      0.3847575125
  133      1.0000039339      1.2299712495      0.0783915650      0.1915967488      0.3872373244
  134      1.0000039637      1.2248463916      0.0793246063      0.1909164105      0.3897050081
  135      1.0000039935      1.2197536800      0.0802591814      0.1902387124      0.3921606701
  136      1.0000040233      1.2146925571      0.0811952437      0.1895635596      0.3946044159
  137      1.0000040531      1.2096624831      0.0821327477      0.1888908641      0.3970363490
  138      1.0000040829      1.2046629356      0.0830716484      0.1882205438      0.3994565720
  139      1.0000041127      1.1996934085      0.0840119017      0.1875525227      0.4018651856
  140      1.0000041425      1.1947534119      0.0849534641      0.1868867300      0.4042622894
  141      1.0000041723      1.1898424709      0.0858962930      0.1862231004      0.4066479813
  142      1.0000042021      1.1849601258      0.0868403462      0.1855615735      0.4090223580
