# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1     20.0970975509      4.9246666667     24.2181297974     13.5168056488      0.0001266737      0.0001250000           3    7.2848837655
    2     35.6009635671      3.7085000000     37.9755649792     13.3841791153      0.0004695543      0.0035833335          83    7.9709999284
    3     44.8295651219      3.1298333333     48.6250027277     11.3434934616      0.0010122764      0.0142916664         257    8.2358577849
    4     51.6656127050      2.7814166667     57.6513001266      9.7380475998      0.0017148327      0.0282500014         335    8.4116044195
    5     55.3469719000      2.5375000000     65.2972887284      8.6642684937      0.0026656254      0.0450416654         403    8.4801742464
    6     57.2085280049      2.3551666667     72.2779050263      7.8603134155      0.0039027305      0.0632083341         436    8.4891175731
    7     59.2436930989      2.2189166667     78.4715451318      7.3276157379      0.0053487048      0.0809166729         425    8.3838495590
    8     59.2747870702      2.0973333333     84.6197434925      6.7857961655      0.0072568324      0.1005000025         470    8.4191855407
    9     59.4350670464      2.0010833333     90.2947583162      6.3973817825      0.0094908858      0.1201249957         471    8.3691001304
   10     58.6612443193      1.9166666667     95.4719100531      5.9630894661      0.0119974967      0.1391249895         456    7.9015121771
   11     56.8899344297      1.8403333333    100.5754832868      5.5119686127      0.0147420578      0.1572500020         435    7.2735961837
   12     55.6553209076      1.7731666667    105.5609873491      5.0770783424      0.0178139135      0.1757083237         443    7.2735931767
   13     54.3926666122      1.7128333333    110.4491294724      4.7183933258      0.0212143958      0.1940416545         440    7.2735972708
   14     53.5771895111      1.6605000000    114.8348042201      4.4172029495      0.0246240534      0.2107916623         402    7.2735968545
   15     51.8436928699      1.6088333333    119.1378343805      4.0242323875      0.0282926597      0.2275416702         402    7.2736027759
   16     51.2254486096      1.5666666667    123.2484279004      3.7581729889      0.0319577008      0.2431250215         374    7.2735978722
   17     50.5580289588      1.5240000000    127.2635028208      3.4945330620      0.0360153988      0.2593333423         389    7.2736009486
   18     49.3278622873      1.4835833333    131.2543166854      3.1898279190      0.0401512422      0.2749166489         374    7.2735503826
   19     49.1673683988      1.4472500000    135.2684840217      3.0141158104      0.0444507450      0.2902500033         368    7.2735610468
   20     48.6128130277      1.4134166667    138.9760290091      2.7947859764      0.0486353002      0.3043749928         339    7.2735635220
   21     48.6941929758      1.3838333333    142.3838362115      2.6107211113      0.0526207164      0.3172916770         310    7.2735518862
   22     48.3231869218      1.3518333333    146.0773526210      2.4427580833      0.0571494475      0.3314583302         340    7.2733954094
   23     48.1470118895      1.3226666667    149.5335471466      2.2619137764      0.0616391823      0.3449166715         323    7.2732732753
   24     47.8049646102      1.2908333333    153.2743440319      2.1028013229      0.0667272657      0.3594583273         349    7.2731585624
   25     47.6517700084      1.2627500000    156.7212338291      1.9780316353      0.0715704262      0.3727499843         319    7.2730721200
   26     47.6237105695      1.2386666667    159.6099205473      1.8646850586      0.0757859349      0.3839583099         269    7.2731176937
   27     47.4532574415      1.2098333333    163.2493603448      1.7415494919      0.0810988843      0.3976666331         329    7.2721280999
   28     47.2320248296      1.1842500000    166.4261169273      1.6245284081      0.0860263109      0.4099166393         294    7.2718675009
   29     47.2179540679      1.1591666667    169.6114756951      1.5347590446      0.0910573006      0.4221249819         293    7.2719059099
   30     47.1480125056      1.1334166667    172.8684627007      1.5058214664      0.0965043902      0.4347916842         304    7.2701510982
   31     47.2097141431      1.1131666667    175.5245660090      1.4507472515      0.1008592993      0.4447082877         238    7.2700352311
   32     46.8330022425      1.0930000000    178.1386988554      1.3274989128      0.1051707342      0.4543749690         232    7.2665885373
   33     46.6436724081      1.0707500000    181.0452459318      1.2672405243      0.1101721525      0.4653332829         263    7.2667722755
   34     46.5506635166      1.0488333333    183.9373751310      1.2278907299      0.1152804941      0.4761666656         260    7.2603867335
   35     46.2867834754      1.0260833333    186.9173226309      1.1840293407      0.1206658706      0.4874166548         270    7.2548771896
   36     46.3174981996      1.0079166667    189.3036825483      1.1433084011      0.1250915527      0.4964166582         216    7.2448590565
   37     46.1391758286      0.9896666667    191.6365172333      1.1351819038      0.1295644790      0.5054583549         217    7.2428973393
   38     45.7830007793      0.9694166667    194.3645530575      1.0718436241      0.1346745342      0.5155000091         241    7.2122220535
   39     45.5761004898      0.9501666667    196.9299803911      1.0528540611      0.1396543384      0.5250833035         230    7.2204978624
   40     45.4241954591      0.9335000000    199.1546412237      1.0496828556      0.1440291256      0.5334166884         200    7.1854803350
   41     45.0857436972      0.9163333333    201.4138160976      1.0190167427      0.1485832334      0.5419583321         205    7.1613178608
   42     44.8179104115      0.8990833333    203.6829054630      1.0058460236      0.1532329321      0.5505416393         206    7.1290158586
   43     44.5344070130      0.8813333333    206.0704536871      1.0007152557      0.1581383497      0.5594166517         213    7.0842471260
   44     44.1641179018      0.8639166667    208.4252139520      0.9733896255      0.1629798710      0.5680833459         208    6.9134768786
   45     43.8042602995      0.8476666667    210.5625321275      0.9697659016      0.1676106900      0.5762083530         195    6.9295876036
   46     43.5487082127      0.8325833333    212.6079659287      0.9633522034      0.1719831526      0.5837500095         181    7.0321245201
   47     43.1075004411      0.8148333333    214.9686072019      0.9538345337      0.1771793962      0.5926250219         213    6.9878795173
   48     42.6359902029      0.7982500000    217.1655085842      0.9402673244      0.1820895970      0.6009166837         199    6.9894499067
   49     42.2940297359      0.7819166667    219.3675914118      0.9256429672      0.1869978905      0.6090833545         196    6.9449939009
   50     41.8013241752      0.7649166667    221.6730731632      0.9191873074      0.1922181994      0.6175833941         204    6.8664484413
   51     41.3078089013      0.7483333333    223.8736879920      0.9153828621      0.1973233819      0.6258749962         199    6.9528008674
   52     40.7499532428      0.7333333333    225.8576201580      0.8820135593      0.2020008564      0.6333334446         179    4.6718575434
   53     40.3677829294      0.7185833333    227.8679670505      0.8738641739      0.2067041248      0.6407083273         177    4.6718575434
   54     39.8558817354      0.7033333333    229.8878376034      0.8702435493      0.2116180956      0.6483334303         183    4.6718575434
   55     39.3362483880      0.6882500000    231.8950998363      0.8545627594      0.2165392786      0.6558750868         181    4.6718575434
   56     38.9229948745      0.6745833333    233.6519780608      0.8464953899      0.2210383713      0.6627085209         164    4.6718575434
   57     38.4036609145      0.6611666667    235.4923566209      0.8423357010      0.2254821062      0.6694167852         161    4.6718575434
   58     37.9968640199      0.6490833333    237.0727917769      0.8326818943      0.2295457125      0.6754585505         145    4.6718575434
   59     37.5657012595      0.6365000000    238.7506019181      0.8265621662      0.2338237166      0.6817500591         151    4.6718575434
   60     36.9792663877      0.6227500000    240.5868191299      0.8181469440      0.2385017276      0.6886251569         165    4.6718575434
