# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1     28.3925512254      5.4719166667     26.3098943919     19.3395767212      0.0000672115      0.0000000000           0    7.7454891108
    2     53.8045718217      4.1110000000     41.7451169335     19.2777976990      0.0002215204      0.0020833332          50    8.6468280706
    3     68.5388906512      3.4823333333     52.7309945327     16.9454669952      0.0005027240      0.0075833336         132    8.9677865873
    4     79.5826500021      3.1000000000     62.3674142551     15.0079784393      0.0008749493      0.0162916668         209    9.1417227729
    5     87.6334635316      2.8311666667     71.0432974728     13.6358509064      0.0014063088      0.0287916679         300    9.2342677150
    6     91.5837349086      2.6097500000     79.5903027243     12.4756917953      0.0021070878      0.0421250015         317    9.2798151703
    7     94.5473303710      2.4480833333     86.8968794107     11.6319789886      0.0029958200      0.0566250011         348    9.3156132117
    8     95.7994821831      2.3140000000     93.6162048741     10.9534225464      0.0041060755      0.0716249943         360    9.3267995862
    9     95.1390768085      2.1990833333    100.3459144520     10.2414131165      0.0054883827      0.0875416696         382    9.3248320956
   10     94.9955855559      2.1070833333    105.8179266537      9.7204399109      0.0070283534      0.1028333306         367    9.3248214245
   11     94.0605964559      2.0347500000    110.9469440347      9.2806491852      0.0086562783      0.1167083383         371    9.1753267146
   12     91.9296506678      1.9572500000    116.7358730457      8.6939067841      0.0107555334      0.1330416650         392    9.1196454638
   13     89.4198835421      1.8908333333    122.0052412637      8.1974668503      0.0130108055      0.1486250013         374    9.0217606874
   14     86.8023334288      1.8316666667    126.9839184653      7.7378349304      0.0154353660      0.1638333350         365    8.9589897640
   15     84.3576688606      1.7795833333    131.3351112479      7.3011407852      0.0177580826      0.1772916615         323    8.9137766635
   16     80.4244958087      1.7259166667    136.4471619849      6.7389411926      0.0204848759      0.1923750043         343    7.6723238725
   17     78.9650897826      1.6827500000    140.6448623693      6.3413009644      0.0232213717      0.2060000002         327    7.6723227550
   18     76.1341685422      1.6397500000    145.0790016773      5.8622837067      0.0260370728      0.2193333358         320    7.6723204092
   19     73.8964729918      1.6002500000    149.5065393209      5.4761242867      0.0291003697      0.2329166830         326    7.6723206123
   20     72.1296667035      1.5636666667    153.6886152651      5.1091289520      0.0322069973      0.2459999919         314    7.6723185251
   21     70.4069337279      1.5287500000    157.9801520308      4.7931036949      0.0355634242      0.2593750060         321    7.6723183681
   22     69.6148009212      1.4969166667    162.0068149864      4.5492172241      0.0389572643      0.2721250057         306    7.6723036740
   23     68.2165237025      1.4660833333    165.8688607839      4.2509760857      0.0423591323      0.2844166756         295    7.6723018545
   24     66.7717541912      1.4362500000    169.6279642510      3.9539542198      0.0457821637      0.2962083220         283    7.6723104716
   25     66.1296010349      1.4085000000    173.3974573341      3.7370481491      0.0494033396      0.3082083166         288    7.6722555521
   26     65.0283320224      1.3824166667    176.9745677013      3.5394463539      0.0528813116      0.3193749785         268    7.6722481440
