# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1     10.2714013782      3.8946666667     19.1437393095      4.0203099251      0.0006944632      0.0012916666          31    6.2050627349
    2     16.0315313555      2.9431666667     30.0078445859      3.7079186440      0.0021045858      0.0161666665         357    6.5187960081
    3     19.3835428542      2.4994166667     38.3974775944      3.2390923500      0.0038487678      0.0421250015         623    6.6248045853
    4     20.9203329979      2.2230833333     45.3914831524      2.7442049980      0.0063164970      0.0742083341         770    6.4768358295
    5     21.6819972348      2.0262500000     51.8469578509      2.4497694969      0.0096801315      0.1076666638         803    6.4559414015
    6     22.6284234122      1.8850000000     57.3879832127      2.2192535400      0.0138189476      0.1400000006         776    6.3501753067
    7     22.9136668268      1.7706666667     62.5959507215      2.0015230179      0.0186156034      0.1708750129         741    6.3045482575
    8     23.3453296468      1.6740000000     67.5055003029      1.8128602505      0.0244013481      0.2023749948         756    6.3049549486
    9     23.4462410937      1.5893333333     72.1243541176      1.6158876419      0.0306792017      0.2317500114         705    6.3048759654
   10     23.7642898967      1.5169166667     76.5470287213      1.4673719406      0.0374411047      0.2597083449         671    6.3047539113
   11     24.0778238895      1.4505833333     80.8330557805      1.3217527866      0.0447716564      0.2869583368         654    6.3044758787
   12     24.5761633994      1.3937500000     84.7650995363      1.2284400463      0.0521323830      0.3120000064         601    6.3045896114
   13     24.7537784233      1.3378333333     88.6068951715      1.0993032455      0.0599836670      0.3364583254         587    6.3040717574
   14     25.0457503561      1.2898333333     92.1185118049      1.0179219246      0.0676407814      0.3587916493         536    6.3030151718
   15     25.4076430315      1.2444166667     95.5802330544      0.9524946213      0.0755560249      0.3805416226         522    6.3020870838
   16     25.6061231522      1.2003333333     98.9241328284      0.8606843948      0.0835888833      0.4014165998         501    6.2972771580
   17     25.7985981211      1.1585000000    102.1600296533      0.8224351406      0.0919583440      0.4219582975         493    6.2857941937
   18     25.9447953551      1.1197500000    105.2150754928      0.7951312065      0.1001557261      0.4411249757         460    6.2857087231
   19     25.8739886221      1.0804166667    108.2992158237      0.7259693146      0.1087100506      0.4603333473         461    6.2662373430
   20     25.8070325649      1.0429166667    111.3159150430      0.7036087513      0.1173039675      0.4788750410         445    6.2541861351
   21     25.7819765523      1.0091666667    114.0015918099      0.6837680340      0.1253921092      0.4957084060         404    6.2361065321
   22     25.6388487654      0.9763333333    116.6550311998      0.6739974022      0.1335791796      0.5120834112         393    6.2336146029
   23     25.4057647178      0.9423333333    119.3804067650      0.6543323994      0.1423767209      0.5290417671         407    6.1837505765
   24     25.1540048025      0.9100000000    122.0093013544      0.6396601200      0.1509471983      0.5451667309         387    6.1703506193
   25     24.8233931167      0.8786666667    124.5296908957      0.6156678200      0.1594454944      0.5607500076         374    6.0609953246
   26     24.6477715651      0.8511666667    126.7453706796      0.5995652676      0.1671811938      0.5745000243         330    6.0338256940
   27     24.3256329078      0.8223333333    129.1047754343      0.5970962048      0.1754888296      0.5889166594         346    5.9440496424
   28     24.0113126609      0.7950833333    131.3263644945      0.5864155293      0.1835488975      0.6025416255         327    6.0857617301
   29     23.6537713210      0.7706666667    133.2921984694      0.5835714340      0.1909396946      0.6147500277         293    5.9755848187
   30     23.3696689798      0.7475000000    135.1588452120      0.5719449520      0.1980779022      0.6263332367         278    6.0974541036
   31     22.9371840907      0.7230000000    137.1547836794      0.5664341450      0.2057020217      0.6385833025         294    6.0956926313
   32     22.5845145102      0.7004166667    138.9922591063      0.5635972023      0.2128909230      0.6498749852         271    5.9950469635
   33     22.1015858625      0.6765000000    140.9227202534      0.5481660366      0.2206942141      0.6618332863         287    6.0152427820
   34     21.6995612138      0.6551666667    142.6456205248      0.5414733887      0.2277435958      0.6725000143         256    6.0538525652
   35     21.1734343490      0.6321666667    144.5084459837      0.5157182217      0.2354257256      0.6839166880         274    4.2215707122
   36     20.7391620358      0.6113333333    146.1951373952      0.5013937950      0.2425621003      0.6943334341         250    4.2215707122
   37     20.2697201234      0.5904166667    147.8972805081      0.4967389107      0.2498606145      0.7047917247         251    4.2215707122
   38     19.8847262271      0.5726666667    149.3609786851      0.4863436222      0.2561120093      0.7136666775         213    4.2215707122
   39     19.5281943412      0.5545000000    150.8670616040      0.4808886051      0.2625948787      0.7227499485         218    4.2215707122
   40     19.0806280825      0.5360833333    152.3740693012      0.4728925228      0.2692741156      0.7319582701         221    4.2215707122
   41     18.6807513177      0.5200833333    153.6886920422      0.4598054886      0.2751477361      0.7399582863         192    4.2215707122
   42     18.2419674188      0.5034166667    155.0328150134      0.4605190754      0.2813256383      0.7482917309         200    4.2215707122
   43     17.8137783720      0.4860000000    156.4534879708      0.4497194290      0.2878533900      0.7570000291         209    4.2215707122
   44     17.3977086227      0.4693333333    157.8006640857      0.4406936169      0.2941641212      0.7653334141         200    4.2215707122
   45     16.9440580742      0.4540833333    159.0501690615      0.4344952106      0.3000413179      0.7729584575         183    4.2215707122
   46     16.5231504530      0.4388333333    160.2984534781      0.4345250130      0.3059519529      0.7805835009         183    4.2215707122
   47     16.0997650231      0.4245833333    161.4566767971      0.4172620773      0.3114877045      0.7877085209         171    4.2215707122
   48     15.6439847819      0.4080833333    162.7881855890      0.4055593014      0.3180008531      0.7959585786         198    4.2215707122
   49     15.2557744964      0.3952500000    163.8234355687      0.4067244530      0.3231438100      0.8023751974         154    4.2215707122
   50     14.9026458910      0.3830833333    164.8216501435      0.3963210583      0.3280209899      0.8084585667         146    4.2215707122
   51     14.5205626442      0.3708333333    165.7996132546      0.3912930489      0.3329831362      0.8145835400         147    4.2215707122
   52     14.1461594105      0.3589166667    166.7757586753      0.3851513863      0.3378128409      0.8205417991         143    4.2215707122
   53     13.7888926485      0.3483333333    167.6263697701      0.3751418591      0.3421518207      0.8258334994         127    4.2215707122
   54     13.4572829690      0.3375833333    168.5015470430      0.3695161343      0.3465822339      0.8312084675         129    4.2215707122
   55     13.1507548121      0.3275000000    169.3519952575      0.3677079678      0.3507742286      0.8362501860         121    4.2215707122
   56     12.8858071940      0.3180000000    170.1464557478      0.3622746468      0.3547614813      0.8410000801         114    4.2215707122
   57     12.4346758490      0.3057500000    171.1176830004      0.3563637733      0.3599613905      0.8471250534         147    4.2215707122
   58     12.1283416811      0.2964166667    171.8841579191      0.3471395969      0.3639067411      0.8517917395         112    4.2215707122
   59     11.7660319819      0.2862500000    172.6974244921      0.3437795639      0.3682579696      0.8568750620         122    4.2215707122
   60     11.4683375389      0.2773333333    173.4301497809      0.3374872208      0.3720932901      0.8613333702         107    4.2215707122
